epoch,train_loss,train_acc,test_loss,test_acc
0,9.4443,24.26,1.5851,37.82
1,7.1266,44.96,1.3629,50.67
2,5.5303,59.64,1.0288,64.43
3,4.4885,67.90,0.9108,68.88
4,3.7560,73.56,0.8345,71.60
5,3.1860,77.65,0.8421,72.17
6,2.6957,81.22,0.7812,74.25
7,2.3179,83.79,0.8068,73.74
8,1.9504,86.32,0.8303,74.43
9,1.6786,88.34,0.9030,74.25
10,1.3956,90.44,0.9616,74.65
11,1.2415,91.59,1.0517,73.24
12,1.0658,92.63,1.0088,74.85
13,0.9164,93.73,1.0945,74.26
14,0.8193,94.49,1.1412,73.73
15,0.7257,95.12,1.2985,74.18
16,0.6118,95.98,1.3982,74.82
17,0.6213,95.96,1.3630,73.95
18,0.5684,96.33,1.3017,74.88
19,0.5161,96.66,1.4357,75.19
20,0.4759,96.90,1.4250,75.90
21,0.4846,96.88,1.3969,75.53
22,0.4802,96.98,1.3223,74.32
23,0.4368,97.22,1.3143,75.16
24,0.4144,97.35,1.4337,75.57
25,0.3893,97.49,1.4816,74.43
26,0.4337,97.28,1.3772,74.14
27,0.3917,97.57,1.4270,75.57
28,0.3660,97.61,1.4862,74.99
29,0.3386,97.92,1.4495,74.23
30,0.3182,97.99,1.5333,74.64
31,0.3667,97.71,1.5438,74.53
32,0.4021,97.52,1.5097,74.76
33,0.3231,98.04,1.4862,75.36
34,0.3472,97.84,1.5535,75.03
35,0.3040,98.14,1.5633,75.51
36,0.3234,97.97,1.5059,74.52
37,0.3075,98.23,1.4685,75.88
38,0.2834,98.29,1.6800,74.93
39,0.3118,98.14,1.5517,75.53
40,0.2954,98.24,1.5405,74.85
41,0.2903,98.26,1.8441,75.20
42,0.3060,98.14,1.6161,75.15
43,0.2763,98.36,1.5936,75.17
44,0.2438,98.49,1.6293,74.60
45,0.3727,97.83,1.5637,75.40
46,0.2976,98.27,1.9370,75.50
47,0.2562,98.54,1.6177,74.38
48,0.2517,98.58,1.7544,75.32
49,0.6504,96.18,1.6196,75.73
50,0.2191,98.68,1.7204,76.28
51,0.1949,98.78,1.7350,75.70
52,0.2262,98.65,1.6052,74.81
53,0.1926,98.80,1.9870,75.70
54,0.2823,98.40,1.4694,74.83
55,0.2674,98.44,1.8491,74.61
56,0.3321,98.15,1.6961,73.84
57,0.2463,98.57,1.8099,75.05
58,0.2206,98.64,1.8246,74.95
59,0.2577,98.52,1.6093,74.91
60,0.2650,98.48,1.7798,75.20
61,0.2037,98.81,1.7963,75.11
62,0.2141,98.79,1.7163,75.84
63,0.2578,98.63,1.8432,75.57
64,0.3275,98.29,1.6767,75.77
65,0.2168,98.86,1.7711,74.66
66,0.1991,98.91,1.9065,75.93
67,0.2622,98.60,1.5916,75.55
68,0.2285,98.79,1.9315,75.91
69,0.1834,99.01,1.9172,75.08
70,0.2268,98.78,1.7035,76.56
71,0.2045,98.87,1.7711,75.54
72,0.2162,98.80,2.2443,74.84
73,0.2262,98.70,1.6623,75.77
74,0.1882,99.02,1.7174,75.14
75,0.2178,98.83,1.7345,76.07
76,0.1693,99.07,1.7653,75.43
77,0.2295,98.66,1.9341,75.32
78,0.3076,98.35,1.8884,75.10
79,0.1521,99.19,1.8602,76.30
80,0.1694,99.05,2.0482,75.55
81,0.2926,98.42,1.6285,75.90
82,0.2140,98.86,2.1909,75.37
83,0.2228,98.88,1.6596,75.58
84,0.1941,98.94,1.7426,76.00
85,0.2507,98.67,1.9397,75.55
86,0.1375,99.27,2.0000,76.45
87,0.1604,99.14,1.8522,76.30
88,0.1734,99.08,2.2303,76.55
89,0.2578,98.79,1.9321,73.69
90,0.2896,98.41,1.8009,76.33
91,0.1430,99.26,1.7501,75.84
92,0.1571,99.18,2.1657,76.77
93,0.2744,98.66,1.8189,75.18
94,0.7800,96.01,1.6141,76.30
95,0.1931,98.99,1.8929,75.54
96,0.1201,99.29,1.9045,76.71
97,0.1505,99.26,1.9197,76.35
98,0.1196,99.40,2.4839,75.96
99,0.2422,98.76,1.4183,73.28
100,0.2375,98.72,1.7802,77.01
101,0.1749,99.14,2.0018,75.62
102,0.1665,99.12,1.9370,76.27
103,0.2329,98.80,1.8942,74.70
104,0.1214,99.43,2.3665,76.09
105,0.1556,99.18,2.1687,75.34
106,0.1755,99.10,2.0205,76.27
107,0.1537,99.20,2.1007,75.43
108,0.3331,98.35,1.7599,76.20
109,0.1745,99.10,2.1321,75.04
110,0.1885,99.08,1.6936,75.93
111,0.1232,99.46,1.7589,76.63
112,0.0946,99.50,2.1000,76.72
113,0.0959,99.52,2.3784,76.25
114,0.3626,98.20,1.8624,76.23
115,0.2877,98.71,1.5451,75.47
116,0.1802,99.06,1.8554,76.00
117,0.1081,99.43,2.0369,75.53
118,0.3428,98.54,1.9132,75.96
119,0.6424,97.61,1.6196,75.41
120,0.2141,98.86,1.6937,76.01
121,0.0754,99.63,2.0500,76.47
122,0.0579,99.72,2.1957,76.09
123,0.0836,99.59,2.4648,76.55
124,0.1350,99.37,1.9112,75.22
125,0.1551,99.31,1.8578,76.49
126,0.1740,99.21,1.7411,76.20
127,0.1688,99.15,1.8900,76.10
128,0.1579,99.20,2.0351,76.45
129,0.1629,99.21,2.1544,76.07
130,0.3068,98.48,1.7276,75.75
131,0.2126,99.04,2.3382,76.52
132,0.1370,99.41,2.0746,75.82
133,0.0912,99.55,1.9982,76.53
134,0.1464,99.32,2.1690,76.50
135,0.2241,99.02,1.9834,76.00
136,0.1609,99.27,2.2287,75.86
137,0.2705,99.03,1.8806,76.10
138,0.1388,99.31,2.1039,76.70
139,0.1170,99.45,2.0513,76.17
140,0.1149,99.42,2.1518,75.64
