Epoch,Train acc,Train loss,Test acc,Test loss
0,52.814,1.3157251917797586,62.41,1.0703459955468964
1,67.994,0.9091635341839412,68.3,0.9064237188689316
2,72.912,0.7683499844177909,71.5,0.8142522716824012
3,76.104,0.6802533762076931,73.12,0.7696338801444331
4,78.69,0.6118218192968832,74.41,0.741187135630016
5,80.522,0.5625581839657805,74.95,0.7262904647784897
6,81.868,0.5186599399275182,75.52,0.7168207960792735
7,83.022,0.48436251000675096,75.86,0.7166722680948958
8,83.994,0.4561454625538243,75.75,0.7195793809015539
9,85.068,0.42567326475287337,76.38,0.7254719937903972
10,85.91,0.4018647691706562,76.38,0.7361854865581174
11,86.918,0.37296147381558137,76.08,0.7623989246314085
12,87.184,0.35855445475377085,76.93,0.7455639956118185
13,88.562,0.3255337727877795,76.18,0.7825583528868759
14,88.852,0.3185976755893444,76.14,0.8077942804445194
15,89.378,0.2990996085316934,76.48,0.8089525243149528
16,90.086,0.279543114783209,75.66,0.8685462003267264
17,90.506,0.2655979290109156,75.93,0.8690808087210112
18,90.848,0.2527660300855137,75.25,0.9007695951039278
19,91.602,0.23660866818998172,76.09,0.896173686920842
20,91.672,0.23038746938681054,76.74,0.892423118217082
21,92.154,0.21719780366134156,76.01,0.9466074644764767
22,92.234,0.2115112222597727,76.01,0.9254206524619574
23,92.964,0.19344697629704194,76.27,0.9522272156009192
24,92.846,0.19569900633810122,75.87,0.9785905540743961
25,93.546,0.18004198016031928,76.09,1.0029926586754714
26,93.91,0.1680081893911447,75.75,1.0378218602530564
27,94.036,0.16379593949183782,75.81,1.0745224620722518
28,94.322,0.15786156938661394,75.55,1.0872575172895118
29,94.404,0.1546181006752469,75.56,1.1115267306943484
30,94.486,0.15010911193878754,75.71,1.1267567073242575
31,94.51,0.14874104397071292,75.75,1.132786780973024
32,94.788,0.14479688639797822,75.27,1.1855053207542323
33,94.924,0.13898406060569732,76.07,1.1459508968304983
34,94.952,0.13768101661749507,75.92,1.1715699939788142
35,95.388,0.12554240050485066,75.61,1.1985064111178434
36,95.208,0.13088541769463083,75.91,1.203490920459168
37,95.634,0.12129413047829248,76.41,1.1833754340304603
38,95.512,0.12041140308656047,75.8,1.22630522749092
39,95.778,0.11485105208919176,76.16,1.2260704659208466
40,95.518,0.12371850673518979,75.62,1.2458230468291271
41,95.788,0.11388758447526208,74.96,1.307970879953119
42,95.93,0.10886867995114277,76.39,1.2455062345613408
43,96.048,0.10621642647191996,75.96,1.271352370328541
44,96.346,0.10035054657674963,75.75,1.3173191660567174
45,96.19,0.10117540528040256,76.02,1.297772069520588
46,96.11,0.1060677294088218,75.59,1.3250702762905555
47,96.002,0.10775335320292989,75.79,1.3610771849185606
48,96.168,0.10525303633640641,75.83,1.3397114540957198
49,96.582,0.09323866286164964,75.77,1.3545584557931634
50,96.698,0.09130533659340018,74.91,1.4537347343903553
51,96.488,0.09637891561688518,75.78,1.382592300070992
52,96.456,0.09806441407069526,75.54,1.38050171770627
53,96.442,0.09521129991039824,76.04,1.388827919960022
54,96.998,0.08291837996553125,76.12,1.3886913362937638
55,96.922,0.08518356093874825,75.59,1.4249846890002866
56,96.572,0.09353200557744107,75.44,1.4160274516178082
57,96.536,0.09356596627656151,75.65,1.445305836351612
58,96.918,0.08439693460360055,75.58,1.422209861912305
59,96.98,0.08384654592351078,75.33,1.4708643585820742
60,96.902,0.08295725875050591,75.78,1.447261142579815
61,97.178,0.07865023437668295,75.27,1.5165810336040546
62,96.934,0.08541368730509144,75.48,1.4825017731400985
63,97.212,0.07677702857252887,76.13,1.4848586147344565
64,96.97,0.08221966296891726,76.04,1.4690575350688984
65,97.212,0.0746959218078905,76.4,1.4642532988439632
66,97.234,0.07623789147438144,75.82,1.5324125071115131
67,97.032,0.08115432969749431,76.49,1.4529098604298845
68,97.35,0.07380605223195633,76.06,1.4987857764280295
69,97.464,0.07079865191789235,76.35,1.482981546015679
70,97.702,0.06679578363428564,75.84,1.531701658345476
71,97.052,0.08217607276356967,75.74,1.5282763039009482
72,96.942,0.08393882123439018,75.86,1.5335490409331987
73,96.924,0.08114513851073392,76.12,1.5227821499486514
74,97.352,0.07383680924573137,75.38,1.5611164343507984
75,97.482,0.06882342098809568,75.67,1.5597559070285363
76,97.672,0.0629622158630158,76.03,1.5811765910703925
77,97.602,0.06422144804349945,76.02,1.5953700723527353
78,97.548,0.06830900048246355,76.3,1.5612755440458466
79,97.67,0.0652772967972795,75.95,1.5669327951684784
80,97.408,0.07114696507449345,75.92,1.578964646858505
81,97.404,0.07169019600705188,75.94,1.5855712430386604
82,97.35,0.07308521708878486,76.03,1.5953679869446573
83,97.628,0.06389872651294712,76.2,1.5739109848119035
84,97.772,0.06059233760675582,76.11,1.61746297606939
85,97.632,0.06547256257466,76.08,1.604400471041474
86,97.598,0.06680558755984316,75.49,1.6034371679342245
87,97.71,0.06420414508594309,75.91,1.6593027182772189
88,97.898,0.05729837780770705,76.15,1.6302342490304875
89,97.896,0.05688731206338043,76.19,1.6751863850822932
90,97.818,0.060172569423513796,76.73,1.6109196845489213
91,97.786,0.0609219900387175,75.82,1.6663993219786053
92,97.878,0.05883495743288789,75.68,1.6852364532555206
93,97.706,0.06436284793102566,76.68,1.657617467113688
94,97.728,0.06309672662883502,75.61,1.6803945114340963
95,97.87,0.058819260326740536,76.35,1.7052355861362023
96,97.958,0.05777965515942487,76.18,1.6500287440758716
97,98.174,0.05250850619386186,76.26,1.6793983156168009
