Epoch,Train acc,Train loss,Test acc,Test loss
0,52.982,1.3170875435899896,62.9,1.0614952588383155
1,67.526,0.9293735184328026,68.67,0.8976931526691099
2,72.132,0.8007833373820995,71.89,0.8061285535745983
3,75.01,0.7180503738658203,73.72,0.7720144745669787
4,76.842,0.6643490977299488,73.21,0.7754785773120348
5,78.122,0.624268461981088,74.41,0.7542680667925484
6,79.646,0.5841777069336923,74.6,0.7461744524255584
7,80.698,0.5540951150457573,74.99,0.7523365707337102
8,81.472,0.5239050377665273,75.39,0.7310872402372239
9,82.596,0.49950417975330597,75.88,0.722601445415352
10,83.382,0.47988484857027486,75.99,0.7333547382415095
11,83.994,0.45753293482543866,75.26,0.756128183648556
12,84.668,0.4387467788232257,75.56,0.7508586580994763
13,85.214,0.4232874676547087,75.59,0.7550425272953661
14,85.608,0.40587677465527866,76.03,0.7615411960625951
15,86.46,0.38879581965753796,75.83,0.7626514219785039
16,87.014,0.373628734322765,75.65,0.7854573726654053
17,87.292,0.36243485367816425,75.72,0.8005293841603436
18,87.614,0.3496539195632691,75.75,0.794105083127565
19,88.178,0.333416331645168,76.17,0.8040236068677299
20,88.462,0.3265237688179821,75.08,0.8551276892046386
21,89.016,0.31086311689423174,75.07,0.8586887773833697
22,89.096,0.3070463216899301,75.96,0.8358369235750995
23,89.434,0.29642171418422936,74.78,0.8940794128405897
24,89.74,0.2866485212045862,75.35,0.8752062592325331
25,89.99,0.277172352766137,75.71,0.8818154689631884
26,90.27,0.26967637339973693,75.52,0.9102643520771703
27,90.456,0.2651482159867311,75.51,0.9127873963193048
28,90.732,0.2550531149939503,75.53,0.935791474354418
29,90.792,0.2519375373564108,74.93,0.9568048383616194
30,91.326,0.2396139865145659,75.44,0.9580262740956077
31,91.52,0.23473913163480248,75.59,0.9675996039487138
32,91.61,0.2297059462007964,75.21,1.0117848575869692
33,91.698,0.2279800226163986,75.06,0.9999727546414242
34,91.856,0.22023174877438095,75.03,1.0188325635994537
35,92.318,0.20909679271376042,74.04,1.0632031458088114
36,92.368,0.2118187659727338,74.59,1.0675358085692683
37,92.364,0.2049421357071918,75.02,1.0831942271582689
38,92.82,0.19980668327997408,75.27,1.0517925891695143
39,92.892,0.1950063419235332,74.96,1.1186247053025644
40,93.008,0.18832508657518252,74.91,1.0886372018464003
41,92.918,0.1921870954849226,74.51,1.1495919250234772
42,93.142,0.18497251496290612,75.28,1.117699323575708
43,93.266,0.1813250828124678,74.74,1.1475888686844065
44,93.25,0.18097321056496457,74.65,1.1617269282099567
45,93.572,0.1749320185131124,74.51,1.176680149156836
46,93.342,0.17767264571069452,74.39,1.2140647467178634
47,93.802,0.16583398115985534,74.09,1.2111692632300943
48,94.068,0.1597150474348489,73.85,1.231467738936219
49,94.218,0.15782663332836708,74.82,1.2255151128467126
50,93.848,0.16391875697752398,74.7,1.2270148471940923
51,94.044,0.15966987061073712,74.48,1.2769319520720952
