Epoch,Train acc,Train loss,Test acc,Test loss
0,51.552,1.355465870379182,60.69,1.1133134153824817
1,64.934,0.9948736586229271,66.87,0.9404261693169799
2,69.204,0.8738078817991954,69.38,0.8721873458427719
3,71.802,0.8098024603960764,70.71,0.8511874713475192
4,73.524,0.7598925984424093,71.62,0.8171196783645244
5,74.904,0.7230598264947876,71.84,0.8029663517505308
6,75.71,0.695773089480827,72.42,0.8028822148902507
7,76.616,0.6672171105051894,73.46,0.7769349511665634
8,77.482,0.6471672698359965,72.59,0.7851350164111657
9,78.142,0.6284006971989751,72.96,0.7909127179580399
10,78.696,0.6097444269205908,73.45,0.7847371501258656
11,79.074,0.5993075361642082,74.24,0.7651298974133744
12,79.586,0.5847342691915419,74.06,0.7645412585403346
13,80.096,0.5705262626833318,74.39,0.772825491579273
14,80.5,0.5610710182000914,74.27,0.764554185203359
15,80.916,0.5461997443910145,74.92,0.7751491846917551
16,81.14,0.5386163348432087,74.03,0.7935153336464604
17,81.394,0.529710319417212,73.63,0.7890033450307725
18,81.546,0.5208564824460412,74.58,0.782677831529062
19,82.032,0.513520452143896,74.01,0.7843344226668153
20,82.218,0.5037308531191648,73.82,0.7993686742420438
21,82.556,0.4980100845284474,73.93,0.8000548527210574
22,82.824,0.49032760992684327,73.67,0.8074227179153056
23,82.888,0.48464582704217235,74.21,0.7952716207202477
24,83.126,0.4757207738773902,74.12,0.7984026240397103
25,83.246,0.472900980192682,74.29,0.8023554101774965
26,83.722,0.4650420003839771,74.52,0.808153120777275
27,83.642,0.4610145988366793,73.44,0.8442272415644005
28,83.724,0.4558376922174488,74.66,0.804756773423545
29,83.934,0.4516168316002087,74.33,0.8027244274374805
30,84.094,0.4454852687885694,74.5,0.8188005942332593
31,84.306,0.44399767329016,74.46,0.836483848245838
32,84.624,0.4398665960944827,73.32,0.8546420848822291
33,84.726,0.4347784552351593,74.05,0.8389600311653523
34,84.762,0.4305564621677789,74.2,0.8305529393727267
35,84.86,0.426814254821109,73.82,0.8384641559818123
36,85.006,0.42384225408287,73.83,0.8378417680535135
37,85.192,0.41855737974729074,73.85,0.8593762879130207
38,85.194,0.41606731891936966,73.64,0.8536315069922918
39,85.318,0.41264439052175683,73.09,0.8858710678317879
40,85.272,0.40980803394866416,73.13,0.8815193131000181
41,85.75,0.4059419042390326,74.12,0.8633410040336319
42,85.708,0.4038066729102903,73.86,0.8740361687503283
43,85.87,0.39764778342698237,73.99,0.8806109896189049
44,85.852,0.39540478106959703,74.22,0.8686760731890232
45,86.022,0.3956606210878743,73.96,0.8834158499029618
46,85.95,0.39341767113227066,73.33,0.8899446688120878
47,86.038,0.38976222067080496,73.09,0.928530562527572
48,85.998,0.3903289140795198,73.65,0.8892804105070573
49,86.24,0.3858466877428162,73.96,0.9037494689603395
50,86.306,0.3842723276227941,73.63,0.8972995217087902
51,86.42,0.3809824524937993,73.15,0.916122538379476
52,86.364,0.3806088633854371,73.67,0.912075702902637
53,86.444,0.37842122756916546,73.3,0.9205883741378784
54,86.476,0.3747557609358712,73.34,0.9306956665425361
55,86.466,0.3746276176570322,73.49,0.9204691776746436
56,86.824,0.36874567410525155,73.82,0.9100828932810433
57,86.858,0.3687741357042357,73.39,0.9366646937177151
58,86.664,0.36946494381903383,73.16,0.9401112229009218
59,86.808,0.36439784911587414,73.62,0.9294988362095024
60,86.938,0.36184912100624855,73.21,0.9469772373573689
61,86.856,0.36206704473404017,73.4,0.9446081224876114
62,86.938,0.3614700802832918,72.99,0.9566770241230349
63,86.964,0.35990303922492217,73.53,0.939681689195995
64,87.116,0.35663230065494544,73.53,0.9624377225018754
65,87.51,0.35019743694063954,73.3,0.957255006590976
66,87.306,0.3533041545039857,73.23,0.9779465643665458
67,87.368,0.35171575741389827,72.66,0.9595933941346181
68,87.202,0.35221738591218543,73.47,0.9502327049834819
69,87.326,0.34831597555019056,73.01,0.9760160785687121
70,87.634,0.34751024415425935,72.99,0.9798559463476832
71,87.512,0.3456520105490599,72.84,0.980982174601736
72,87.604,0.3447713745981836,73.02,0.9770139108730268
73,87.71,0.34273465595129504,73.51,0.9684916432899765
74,87.702,0.34235884348297363,73.39,0.9697062297712399
75,87.706,0.3392699455361232,73.29,0.9821107123471513
76,87.828,0.3415489739088146,72.95,1.0031464092339142
77,87.862,0.33668221601897186,73.47,0.9915810981883278
78,87.924,0.335170711512151,73.09,1.0070282228385345
79,87.966,0.33453229595633116,73.12,1.0009400301341769
80,87.998,0.33330873085562224,73.65,1.0119622862791713
81,88.012,0.33207496318518354,73.07,1.0017206185980687
82,87.928,0.3315842305988912,72.89,1.0115326974965348
83,87.91,0.33128902537133686,73.37,1.0200149537641792
84,88.164,0.3268212809815736,73.57,1.0140979984138585
85,88.398,0.32423131872930794,73.3,1.016431921645056
86,88.198,0.32665479087921057,73.23,1.0235609517821782
87,88.2,0.32546988327789794,72.56,1.0367283851285525
88,88.436,0.32289054852617366,73.09,1.034420708312264
89,88.262,0.32521228968639815,72.63,1.0359327287613591
90,88.27,0.3194216753134642,73.51,1.0239121891275238
91,88.45,0.31908337838585726,72.89,1.054527010344252
92,88.194,0.3247521946116177,72.77,1.03210140330882
93,88.478,0.3194266449459983,73.42,1.029435080817983
94,88.608,0.3158951129602349,73.39,1.0297856700571277
95,88.534,0.3171133455413077,72.73,1.0533554161651224
96,88.506,0.3170155004390975,73.4,1.0395771476286877
97,88.588,0.3127492951310199,73.64,1.0467548242098168
98,88.582,0.3148683411309786,73.53,1.0363748873336405
99,88.61,0.31241774993479404,73.52,1.0532602011402952
