Epoch,Train acc,Train loss,Test acc,Test loss
0,52.756,1.3142001570947945,62.69,1.0560499067547955
1,68.706,0.8887154225193327,69.51,0.8707731320888181
2,74.308,0.729012540996532,72.92,0.7802240592014941
3,77.732,0.6332166326015501,74.88,0.7333269217346288
4,80.378,0.5635345161266034,74.81,0.7211560803123668
5,82.114,0.5081359422420297,75.76,0.7222106071967113
6,83.822,0.462625191111089,77.11,0.694680473095254
7,85.406,0.41762140095996125,77.13,0.7013363030892384
8,86.242,0.38843685281855983,77.31,0.7219588741471495
9,87.528,0.3540092373595518,76.98,0.7268698217370843
10,88.656,0.32241923283890384,77.09,0.7465613699412044
11,89.508,0.2978361536703451,77.81,0.7608583339407474
12,90.01,0.2785770600790258,77.16,0.7838084886345682
13,91.126,0.250004806710631,77.54,0.8033214799965485
14,91.598,0.23427260221194124,77.43,0.8237246116505393
15,92.074,0.22036915375372332,77.41,0.8683513795273213
16,92.548,0.20525502476393415,77.14,0.8831986015356039
17,93.102,0.19287224401674613,77.61,0.9058438177350201
18,93.446,0.18241827220410642,77.23,0.9318246743347072
19,93.87,0.16912569936431582,77.58,0.9409430683413639
20,94.102,0.16341364398941666,77.06,0.9669384043427962
21,94.412,0.15281293575492355,77.33,1.020312533725666
22,94.334,0.1532378212913223,76.65,1.0263206596615948
23,94.78,0.14280191569796305,77.72,1.0184281023242805
24,95.374,0.12751910422006837,77.24,1.050105393687381
25,95.432,0.12652311416919274,76.71,1.0790576923497115
26,95.26,0.1295570510503886,76.75,1.150769587559036
27,95.326,0.12838438441953087,76.84,1.1136162922352175
28,95.596,0.12174440525910434,76.59,1.1658981306643426
29,96.106,0.10835495048567005,77.25,1.151349862919578
30,96.45,0.09777045042713738,77.06,1.1501698441143278
31,95.798,0.11420201415867756,76.58,1.2061027024365678
32,96.048,0.11154662249395457,76.68,1.226365077344677
33,96.226,0.10356372158469447,77.34,1.215941448000413
34,96.22,0.10262075676809033,77.54,1.206909209867067
35,96.448,0.09947367330960681,77.19,1.269252051469646
36,96.336,0.09855261687522807,77.16,1.23614256140552
37,96.804,0.08758044164494404,77.75,1.2465512737443176
38,97.028,0.08384345698853969,77.9,1.2106773355339147
39,96.364,0.09913238411402459,77.54,1.2571490127829057
40,96.968,0.08718037595758048,77.14,1.2394778245612035
41,96.768,0.08861285448550721,77.14,1.265641589707966
42,97.034,0.08279483539559652,78.12,1.271554265218445
43,97.078,0.08176582593880498,77.02,1.333408370048185
44,96.888,0.08584159488320503,77.02,1.3369354998009115
45,96.878,0.08480962785079961,77.29,1.3089832263656809
46,97.112,0.08002935584320132,77.97,1.293128248256973
47,97.152,0.0793979767247882,77.96,1.2840472686139843
48,97.384,0.07225529028012244,77.89,1.3023844655556014
49,97.358,0.07460504282465981,76.8,1.4198172182976445
50,97.314,0.07553854144042563,77.3,1.362410060967071
51,97.33,0.07538645583755144,77.67,1.330030443547647
52,97.31,0.0747389129584517,77.43,1.360477500324008
53,97.432,0.07095825679771736,77.51,1.4369354512118087
54,97.658,0.06615045254387895,77.78,1.389738355256334
55,97.402,0.0712697276312029,77.0,1.4330014907106567
56,97.558,0.06658380605099375,77.67,1.431182843974874
57,97.35,0.07448591629657751,77.39,1.4189146598683129
58,97.758,0.06290247086721384,77.71,1.4172104121763496
59,97.65,0.0634859770576915,77.6,1.439267864710168
60,97.42,0.07140315146854771,77.98,1.4272274646577956
61,97.648,0.0661578509608841,77.17,1.4751949393296544
62,97.7,0.062151267324262266,77.77,1.4415903287597849
63,97.894,0.05755079041480485,77.76,1.4608224441733542
64,97.98,0.056427684717375755,77.61,1.4585264936278137
65,97.784,0.06171675570799833,77.46,1.4974443516399287
66,97.588,0.06846719552688968,77.4,1.4780936520310897
67,97.624,0.06577877766545624,77.39,1.505076618134221
68,97.972,0.055987237959795294,78.08,1.467026300068143
69,98.154,0.05019422563012032,77.53,1.5007581642911405
70,97.922,0.05914837102551023,78.14,1.5025021237663077
71,97.87,0.05828066024502925,77.86,1.5157026520258263
72,97.888,0.06037527701372038,77.31,1.4948127420642707
73,97.838,0.06087990414322642,77.42,1.5630338539051105
74,97.964,0.05454596682020542,77.62,1.5346239050732384
75,97.98,0.05499204741957624,77.41,1.5757887355888947
76,98.172,0.05139718695229296,77.49,1.5422333071503458
77,98.256,0.050507882848153336,77.86,1.533475251891945
78,97.92,0.057470039956395505,77.93,1.5643634660334527
79,97.632,0.06745956024712385,77.46,1.5906618939170354
80,98.186,0.050139808495555195,78.3,1.5181815609147278
81,98.598,0.03894356614195496,78.34,1.539345145225525
82,98.596,0.039720310642600745,77.76,1.559013295022747
83,97.774,0.06341667672681153,77.54,1.6000957232487352
84,97.848,0.06193196131130847,77.48,1.5706222419497333
85,98.144,0.05333409738212424,78.12,1.5974119599861434
86,98.39,0.045024616034615716,77.83,1.5746216856980626
87,98.44,0.042432792626483286,78.27,1.5536733473403543
88,98.168,0.051323246125660624,77.91,1.626895404314693
89,98.11,0.05374820281625213,77.89,1.5910324786282792
90,98.324,0.048500834766518126,78.09,1.5702244330056105
91,98.206,0.05100111825310666,77.98,1.6396547812449782
92,98.33,0.04728081187113043,78.4,1.588783409776567
93,98.468,0.04391263686168148,77.77,1.6423816499830801
94,98.41,0.04404627547011046,77.35,1.669271911246867
95,98.21,0.04999834536979704,78.26,1.654522704172738
96,98.208,0.04968605433409686,77.87,1.6427197048935709
97,98.27,0.04959369871272322,78.3,1.6322794835778731
98,98.522,0.04052700466938469,77.69,1.701611950427671
99,98.79,0.034476957742429676,77.88,1.6919293562068214
