time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7
1676057013.9882524,5.718,0.105,0.0,0.0,0.0,1.0,0.05,0.05,0.05,56.0,44.0,44.0,39.0,
1676057014.1885436,5.718,0.1,0.15,0.1,0.1,1.0,0.23800000000000002,0.105,0.136,54.0,46.0,45.0,40.0,
1676057014.3888688,5.718,0.053,0.1,0.0,0.095,1.0,0.05,0.048,0.0,56.0,43.0,44.0,39.0,
1676057014.5891616,5.718,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,43.0,44.0,40.0,
1676057014.789452,5.718,0.095,0.0,0.0,0.0,1.0,0.0,0.0,0.05,56.0,43.0,44.0,39.0,
1676057014.989744,5.691,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,43.0,44.0,39.0,
1676057015.1900358,5.691,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,43.0,43.0,39.0,
1676057015.3903217,5.691,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,43.0,44.0,39.0,
1676057015.5906138,5.691,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.05,55.0,43.0,44.0,39.0,
1676057015.7909105,5.691,0.0,0.0,0.0,0.0,1.0,0.19,0.0,0.05,56.0,44.0,44.0,39.0,
1676057015.9911985,5.691,0.091,0.0,0.0,0.0,1.0,0.05,0.05,0.048,55.0,43.0,44.0,39.0,
1676057016.1914845,5.752,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,56.0,43.0,44.0,39.0,
1676057016.3917758,5.752,0.0,0.0,0.0,0.0,1.0,0.048,0.05,0.0,55.0,43.0,44.0,39.0,
1676057016.5920694,5.752,0.048,0.0,0.0,0.0,1.0,0.0,0.0,0.048,55.0,43.0,44.0,39.0,
1676057016.7923589,5.569,0.05,0.0,0.0,0.0,1.0,0.05,0.0,0.05,56.0,43.0,43.0,39.0,
1676057016.992647,5.569,0.05,0.0,0.0,0.0,1.0,0.048,0.0,0.0,56.0,43.0,43.0,39.0,
1676057017.192945,5.569,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,43.0,44.0,39.0,
1676057017.393233,5.569,0.0,0.0,0.0,0.048,1.0,0.0,0.158,0.05,56.0,43.0,44.0,39.0,
1676057017.5935175,5.569,0.091,0.0,0.0,0.0,1.0,0.0,0.048,0.0,56.0,43.0,44.0,40.0,
1676057017.793804,5.569,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,55.0,43.0,44.0,39.0,
1676057017.9941008,5.657,0.05,0.1,0.0,0.0,1.0,0.15,0.053,0.2,55.0,45.0,45.0,42.0,
1676057018.1943977,5.657,0.105,0.14300000000000002,0.136,0.0,1.0,0.14300000000000002,0.105,0.1,55.0,44.0,44.0,40.0,
1676057018.394683,5.657,0.048,0.0,0.0,0.0,1.0,0.0,0.048,0.0,56.0,44.0,44.0,40.0,
1676057018.5949786,5.657,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,44.0,44.0,40.0,
1676057018.7952673,5.775,0.095,0.0,0.0,0.0,1.0,0.05,0.15,0.0,56.0,44.0,45.0,40.0,
1676057018.9955466,5.775,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.05,56.0,44.0,44.0,40.0,
1676057019.195903,5.775,0.14300000000000002,0.19,0.105,0.0,1.0,0.136,0.05,0.05,55.0,44.0,44.0,40.0,
1676057019.396197,5.775,0.1,0.05,0.19,0.0,1.0,0.1,0.095,0.0,56.0,44.0,44.0,40.0,
1676057019.5964735,5.775,0.15,0.0,0.0,0.0,1.0,0.0,0.048,0.048,56.0,44.0,44.0,40.0,
1676057019.7967546,5.775,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,43.0,44.0,40.0,
1676057019.9970388,5.721,0.095,0.0,0.0,0.0,1.0,0.0,0.0,0.05,56.0,43.0,44.0,40.0,
1676057020.1973228,5.721,0.0,0.0,0.0,0.0,1.0,0.0,0.048,0.0,56.0,43.0,44.0,40.0,
1676057020.3976173,5.721,0.053,0.0,0.0,0.0,1.0,0.0,0.15,0.05,56.0,44.0,44.0,40.0,
1676057020.5979028,5.721,0.05,0.0,0.0,0.0,1.0,0.05,0.0,0.0,56.0,44.0,44.0,40.0,
1676057020.79819,5.721,0.048,0.0,0.0,0.0,1.0,0.0,0.0,0.05,56.0,43.0,44.0,40.0,
1676057020.9984787,5.756,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,44.0,44.0,40.0,
1676057021.198761,5.756,0.048,0.0,0.0,0.0,1.0,0.048,0.048,0.0,56.0,43.0,44.0,40.0,
1676057021.3990464,5.756,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,44.0,44.0,40.0,
1676057021.5993416,5.756,0.048,0.0,0.0,0.0,1.0,0.0,0.0,0.05,56.0,44.0,44.0,40.0,
1676057021.799645,5.756,0.0,0.0,0.0,0.0,1.0,0.0,0.053,0.048,55.0,43.0,46.0,40.0,
1676057021.9999354,5.756,0.0,0.0,0.0,0.0,1.0,0.05,0.14300000000000002,0.0,56.0,44.0,44.0,40.0,
1676057022.2002175,5.721,0.05,0.0,0.0,0.0,1.0,0.0,0.05,0.05,56.0,44.0,44.0,40.0,
1676057022.4005082,5.721,0.05,0.0,0.0,0.048,1.0,0.0,0.048,0.048,56.0,44.0,44.0,40.0,
1676057022.6008,5.721,0.05,0.0,0.0,0.0,1.0,0.0,0.05,0.0,56.0,44.0,44.0,40.0,
1676057022.8010755,5.721,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,43.0,44.0,40.0,
1676057023.001486,5.599,0.1,0.095,0.0,0.0,1.0,0.1,0.21100000000000002,0.14300000000000002,54.0,46.0,47.0,41.0,
1676057023.20178,5.599,0.053,0.05,0.053,0.1,1.0,0.15,0.05,0.053,56.0,44.0,45.0,40.0,
1676057023.402078,5.599,0.05,0.0,0.0,0.048,1.0,0.0,0.158,0.0,56.0,44.0,45.0,40.0,
1676057023.60238,5.599,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.05,56.0,44.0,44.0,40.0,
1676057023.8026874,5.599,0.091,0.0,0.0,0.0,1.0,0.0,0.0,0.048,56.0,44.0,44.0,40.0,
1676057024.0029697,5.87,0.059000000000000004,0.0,0.0,0.0,1.0,0.091,0.0,0.0,56.0,44.0,44.0,40.0,
