Epoch,Train acc,Train loss,Test acc,Test loss
0,39.002,1.6475752162201631,47.68,1.5094540270068977
1,56.476,1.2149319093855446,58.43,1.191077574898925
2,64.93,0.99844904827035,66.24,0.9748408236081088
3,70.65,0.8356997750299361,69.67,0.879341561583024
4,74.312,0.7323975504359321,70.22,0.8966375098952765
5,77.37,0.6490760848802679,72.54,0.8154681543760662
6,79.59,0.5855803466818826,74.19,0.7666357453865341
7,81.782,0.5209683540379605,73.99,0.7883736928807029
8,83.648,0.4716656775120884,74.73,0.7754186595542522
9,84.812,0.4345562692798312,74.97,0.7771880170212516
10,86.13,0.3948053033150675,75.75,0.7707804471631593
11,87.23,0.36527992887875005,75.18,0.8146143680131888
12,88.276,0.3311455945682038,77.04,0.767139663424673
13,89.58,0.2934492299395144,76.07,0.8147187300875217
14,90.41,0.27362220667664655,75.16,0.8748505002335657
15,90.642,0.26914657307479084,75.82,0.8672596849972689
16,91.686,0.2339798545517275,77.78,0.8254950423783893
17,92.372,0.21734724748317544,76.53,0.8882398982591266
18,92.594,0.20605399381474157,76.85,0.9137520261957676
19,93.386,0.19023081335379644,77.03,0.93845322313188
20,93.832,0.17687544180913958,76.81,0.8936452001710481
21,94.232,0.1612274377794979,76.85,0.9620403990715365
22,93.968,0.16836785323098494,76.95,0.9543056110792523
23,94.756,0.14948939519655674,77.14,0.9176503265205818
24,95.054,0.14097341500184574,77.24,0.9682114558129371
25,94.538,0.16202867335027746,78.05,0.9269714174391348
26,95.602,0.12835875920036718,77.36,1.0284883357301544
27,95.796,0.12353799924673632,77.08,1.0353338382666624
28,95.768,0.11892138699741314,76.47,1.1135191955143893
29,95.362,0.13381717762793116,77.5,0.9946416705092297
30,96.054,0.11145486480430188,77.82,1.002619356671466
31,96.414,0.10269649044308059,76.72,1.097054614673687
32,96.048,0.11233131455071747,76.86,1.0747043150889724
33,95.98,0.11487047198464347,76.94,1.0739528014312816
34,96.368,0.10450259115442138,77.77,1.0104716201371784
35,96.896,0.08841418321756526,77.88,1.0656989088541344
36,96.342,0.10679138923430687,77.22,1.0540111291257641
37,96.792,0.09082691603199676,77.61,1.116179129745387
38,97.054,0.08492185478872807,77.9,1.0301445081264158
39,96.976,0.08697271269395986,77.15,1.107560833798179
40,96.574,0.10090098570784568,76.46,1.0941162667696989
41,97.058,0.08646199814355968,77.8,1.1356098523622826
42,97.046,0.08329183423458159,77.4,1.1210757622235938
43,97.124,0.08191160346045519,77.98,1.0815995976894717
44,97.328,0.07596156987197258,77.35,1.1879090915752362
45,97.176,0.08272221979334989,77.85,1.076750830758976
46,97.282,0.08161161593554536,77.68,1.0830714319702945
47,97.136,0.07948133113848813,77.6,1.1627545239804666
48,97.43,0.07438317076076785,78.3,1.0927473936654344
49,97.632,0.06836143200812132,78.8,1.1043794049492366
50,97.484,0.07208756700424893,77.06,1.2236199386512177
51,96.52,0.1014071918804856,77.88,1.0824316785305361
52,98.05,0.05910149411014889,78.92,1.0587620290019844
53,98.002,0.05754869007755576,78.23,1.1022269723913338
54,97.91,0.05996996575556791,78.25,1.1629168915597698
55,97.538,0.07189407164845472,78.73,1.0692423665070836
56,97.782,0.06264520178565665,78.75,1.1465298631523229
57,97.756,0.06328401735285892,78.48,1.1557087724721884
58,97.648,0.07032854266016914,78.26,1.1182924576952487
59,98.03,0.05738556432559171,78.14,1.1743703718426861
60,97.89,0.06121712380810581,79.03,1.1181165500532222
61,97.962,0.05874332459048008,77.26,1.4477135479638847
62,97.024,0.09187312391074494,78.53,1.1203893423080444
63,98.344,0.04800611625120634,78.82,1.1470845907549314
64,98.376,0.04681515164049271,78.43,1.21113030140913
65,98.26,0.05127151289721355,78.66,1.18813604870929
66,98.188,0.05252238276802823,78.78,1.1502532347848144
67,98.02,0.056139289577732156,78.64,1.1385111552250535
68,98.268,0.051658129212363145,78.36,1.1582610810859293
69,98.278,0.05008881802842154,78.36,1.2073494211027893
70,97.956,0.058506976464129695,78.34,1.2821704911280283
71,97.556,0.07231896339684649,78.61,1.093695056589344
72,98.534,0.04295918153887114,79.08,1.1713867896719823
73,98.378,0.04746113467575682,78.8,1.1191470660740817
74,98.344,0.04702171129639001,78.18,1.2146563990206658
75,98.312,0.04814904284171636,78.92,1.1738760607152046
76,98.144,0.054652858201278576,78.08,1.312450663952888
77,98.154,0.053839800329140534,78.83,1.2026932337616063
78,98.516,0.043911242354399214,78.4,1.260780142832406
79,98.478,0.04437572830725852,78.88,1.2260738603676422
80,98.59,0.04246165767184618,78.77,1.1962173075615605
81,98.362,0.049245848126895246,79.09,1.1645472276059887
82,98.196,0.052963203177704,78.87,1.2478967022292222
83,98.372,0.048468634335543305,79.07,1.1355860652048377
84,98.58,0.04231115312749029,79.14,1.1785801332208174
85,98.67,0.03808112444696696,79.88,1.1622554350502883
86,98.62,0.038950306251454535,79.61,1.2217096799536595
87,98.056,0.0577655599078597,78.59,1.225851621054396
88,98.368,0.04899544799831384,79.58,1.1756034825421586
89,98.87,0.032893386425312296,78.58,1.2481345956838583
90,98.708,0.03801806923061552,78.72,1.2059138385178167
91,98.724,0.03729398752136342,78.48,1.2619367422936838
92,98.614,0.040541044403941795,79.26,1.1779237261301354
93,98.252,0.0514917758810322,78.83,1.241089797472652
94,98.518,0.04226870711028214,79.06,1.1959556114824512
95,98.812,0.034921914365861915,79.4,1.194569931000094
96,98.57,0.03962448827476929,79.3,1.2043113406700423
97,98.762,0.037714251730938814,78.73,1.1859495903872237
98,98.748,0.03709760667188117,78.69,1.262173731870289
99,98.232,0.05371859528200553,78.69,1.188636142241804
