time               ,W      ,usage_c0             ,usage_c1             ,usage_c2             ,usage_c3             ,usage_c4             ,usage_c5             ,usage_c6             ,usage_c7             ,temp4 ,temp5 ,temp6 ,temp7
1676067642.6396854 , 5.206 ,0.105                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 39.0 , 40.0 , 43.0 , 47.0 ,
1676067642.840138  , 5.206 ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.048                ,1.0                  , 39.0 , 40.0 , 44.0 , 47.0 ,
1676067643.0405953 , 5.21  ,0.15                 ,0.0                  ,0.0                  ,0.0                  ,0.15                 ,0.0                  ,0.095                ,1.0                  , 39.0 , 40.0 , 44.0 , 47.0 ,
1676067643.2410457 , 5.21  ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 39.0 , 40.0 , 43.0 , 47.0 ,
1676067643.4414923 , 5.21  ,0.14300000000000002  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 39.0 , 40.0 , 44.0 , 47.0 ,
1676067643.6419504 , 5.21  ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 39.0 , 40.0 , 44.0 , 47.0 ,
1676067643.8423996 , 5.21  ,0.055999999999999994 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 39.0 , 40.0 , 44.0 , 47.0 ,
1676067644.0428634 , 5.263 ,0.15                 ,0.0                  ,0.048                ,0.05                 ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 39.0 , 40.0 , 44.0 , 47.0 ,
1676067644.243313  , 5.263 ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.048                ,1.0                  , 39.0 , 40.0 , 44.0 , 47.0 ,
1676067644.44378   , 5.263 ,0.14300000000000002  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,1.0                  , 40.0 , 40.0 , 44.0 , 47.0 ,
1676067644.6442418 , 5.263 ,0.105                ,0.0                  ,0.0                  ,0.0                  ,0.15                 ,0.0                  ,0.0                  ,1.0                  , 40.0 , 40.0 , 44.0 , 48.0 ,
1676067644.8446822 , 5.263 ,0.1                  ,0.0                  ,0.0                  ,0.048                ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 39.0 , 40.0 , 44.0 , 48.0 ,
1676067645.045144  , 5.309 ,0.105                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.091                ,0.0                  ,1.0                  , 40.0 , 40.0 , 44.0 , 48.0 ,
1676067645.24559   , 5.309 ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 39.0 , 40.0 , 44.0 , 48.0 ,
1676067645.4460359 , 5.309 ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 39.0 , 40.0 , 44.0 , 48.0 ,
1676067645.6464834 , 5.309 ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 40.0 , 44.0 , 48.0 ,
1676067645.8469434 , 5.218 ,0.15                 ,0.0                  ,0.0                  ,0.0                  ,0.095                ,0.0                  ,0.05                 ,1.0                  , 40.0 , 40.0 , 44.0 , 48.0 ,
1676067646.0474024 , 5.218 ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.15                 ,0.0                  ,0.05                 ,1.0                  , 40.0 , 41.0 , 44.0 , 48.0 ,
1676067646.2478495 , 5.218 ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 44.0 , 48.0 ,
1676067646.4483168 , 5.218 ,0.105                ,0.0                  ,0.048                ,0.0                  ,0.0                  ,0.0                  ,0.048                ,1.0                  , 40.0 , 40.0 , 44.0 , 48.0 ,
1676067646.648761  , 5.218 ,0.14300000000000002  ,0.0                  ,0.0                  ,0.091                ,0.0                  ,0.0                  ,0.05                 ,1.0                  , 40.0 , 40.0 , 44.0 , 48.0 ,
1676067646.8492339 , 5.26  ,0.055999999999999994 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 44.0 , 48.0 ,
1676067647.0496993 , 5.26  ,0.14300000000000002  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,0.0                  ,0.0                  ,1.0                  , 40.0 , 40.0 , 44.0 , 48.0 ,
1676067647.250158  , 5.26  ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 40.0 , 44.0 , 48.0 ,
1676067647.4506109 , 5.26  ,0.105                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,1.0                  , 40.0 , 41.0 , 44.0 , 48.0 ,
1676067647.6510882 , 5.26  ,0.15                 ,0.0                  ,0.0                  ,0.0                  ,0.105                ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 44.0 , 48.0 ,
1676067647.8515315 , 5.26  ,0.095                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 44.0 , 48.0 ,
1676067648.0519958 , 5.447 ,0.111                ,0.0                  ,0.0                  ,0.048                ,0.0                  ,0.048                ,0.05                 ,1.0                  , 40.0 , 41.0 , 44.0 , 48.0 ,
1676067648.2524633 , 5.447 ,0.053                ,0.0                  ,0.0                  ,0.048                ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 44.0 , 48.0 ,
1676067648.4530373 , 5.447 ,0.14300000000000002  ,0.0                  ,0.0                  ,0.0                  ,0.5                  ,0.21100000000000002  ,0.158                ,1.0                  , 47.0 , 48.0 , 47.0 , 48.0 ,
1676067648.653495  , 5.447 ,0.105                ,0.0                  ,0.0                  ,0.789                ,0.05                 ,0.05                 ,0.05                 ,1.0                  , 41.0 , 43.0 , 46.0 , 49.0 ,
1676067648.853941  , 5.447 ,0.15                 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 41.0 , 41.0 , 45.0 , 48.0 ,
1676067649.0543826 , 6.5   ,0.055999999999999994 ,0.0                  ,0.048                ,0.0                  ,0.19                 ,0.0                  ,0.0                  ,1.0                  , 44.0 , 41.0 , 45.0 , 48.0 ,
1676067649.2548382 , 6.5   ,0.14300000000000002  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067649.4552941 , 6.5   ,0.1                  ,0.0                  ,0.048                ,0.048                ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067649.6557431 , 6.5   ,0.105                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 41.0 , 41.0 , 45.0 , 48.0 ,
1676067649.8561878 , 5.328 ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067650.0566494 , 5.328 ,0.15                 ,0.0                  ,0.0                  ,0.048                ,0.05                 ,0.05                 ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067650.2570832 , 5.328 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067650.4575372 , 5.328 ,0.19                 ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,0.048                ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067650.657989  , 5.328 ,0.05                 ,0.0                  ,0.0                  ,0.0                  ,0.15                 ,0.0                  ,0.048                ,1.0                  , 41.0 , 41.0 , 45.0 , 48.0 ,
1676067650.8584504 , 5.378 ,0.15                 ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067651.0589144 , 5.378 ,0.105                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.048                ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067651.2593577 , 5.378 ,0.053                ,0.0                  ,0.0                  ,0.048                ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067651.4598274 , 5.378 ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.05                 ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067651.660275  , 5.378 ,0.105                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,0.091                ,0.0                  ,1.0                  , 40.0 , 41.0 , 45.0 , 48.0 ,
1676067651.8607168 , 5.378 ,0.095                ,0.0                  ,0.0                  ,0.048                ,0.0                  ,0.0                  ,0.091                ,1.0                  , 40.0 , 41.0 , 44.0 , 48.0 ,
